State,County,Town/City,Zip,Overall Score,Home Price,Property Tax,Home Appreciation Rate,Price Per Sqft,Education,Healthcare & Fitness,Weather Grade,Air Quality Index,Commute/Transit Score,Accessibility,Culture/Entertainment,Unemployment Rate,Recent Job Growth,Future Job Growth Index,"Median Household Income ($1,000s)",State Income Tax,Utilities,Food/Groceries,Sales Tax,Transportation Costs,,
MA,Middlesex,Barre,01005,80,"$344,300",1.43%,9.80%,$183.54 ,62,75,53,70,50,23,18,2.80%,-0.03%,71,$97.41 ,5.00%,42,58,6.25%,61,25.4,100.26%
MA,Middlesex,Belchertown,01007,80,"$432,200",1.56%,7.00%,$215.22 ,72,60,58,71,57,30,25,2.40%,-0.76%,72,$99.50 ,5.00%,45,57,6.25%,57,25.7,101.65%
MA,Middlesex,Athol,01331,79,"$285,900",1.31%,10.20%,$172.73 ,43,57,53,74,55,30,24,2.80%,-0.03%,67,$66.99 ,5.00%,45,49,6.25%,55,25.3,100.00%
MA,Middlesex,Ashby,01431,81,"$443,700",1.08%,6.40%,$237.87 ,64,71,55,74,55,21,14,2.50%,0.86%,77,$105.75 ,5.00%,54,59,6.25%,68,26.0,102.51%
MA,Middlesex,Ayer,01432,82,"$512,900",1.17%,8.10%,$291.79 ,71,67,59,69,53,28,19,2.50%,0.86%,81,$99.38 ,5.00%,40,62,6.25%,70,25.9,102.20%
MA,Middlesex,Devens,01434,82,"$609,300",1.08%,7.60%,$329.35 ,81,73,59,76,56,21,18,2.50%,0.86%,69,$106.88 ,5.00%,46,62,6.25%,57,27.0,106.59%
MA,Middlesex,Groton,01450,86,"$718,300",1.08%,8.30%,$305.71 ,96,82,57,71,58,28,23,2.50%,0.86%,79,$186.75 ,5.00%,42,62,6.25%,62,26.9,106.16%
MA,Middlesex,Harvard,01451,82,"$884,800",1.36%,10.80%,$361.86 ,89,70,56,69,61,24,19,2.80%,-0.03%,71,$199.19 ,5.00%,43,71,6.25%,61,25.4,100.29%
MA,Middlesex,Littleton,01460,88,"$689,000",1.08%,8.50%,$328.30 ,87,93,60,69,57,36,27,2.50%,0.86%,80,$151.49 ,5.00%,40,63,6.25%,61,28.2,111.27%
MA,Middlesex,Lunenburg,01462,82,"$518,700",1.56%,9.30%,$255.95 ,73,75,60,70,57,32,24,2.80%,-0.03%,74,$106.47 ,5.00%,54,61,6.25%,64,26.9,106.41%
MA,Middlesex,Pepperell,01463,82,"$493,900",1.08%,7.70%,$227.79 ,72,72,54,71,54,28,18,2.50%,0.86%,77,$124.05 ,5.00%,53,61,6.25%,67,25.8,101.92%
MA,Middlesex,Shirley,01464,82,"$485,100",1.28%,7.80%,$244.07 ,58,72,59,74,62,23,16,2.50%,0.86%,82,$114.12 ,5.00%,54,61,6.25%,56,26.7,105.52%
MA,Middlesex,Templeton,01468,79,"$354,900",1.33%,9.00%,$204.72 ,51,68,51,76,50,21,14,2.80%,-0.03%,76,$106.58 ,5.00%,47,57,6.25%,59,25.5,100.78%
MA,Middlesex,Townsend,01469,82,"$417,200",1.08%,8.40%,$215.75 ,65,69,59,76,55,27,20,2.50%,0.86%,77,$100.40 ,5.00%,56,60,6.25%,64,27.1,107.03%
MA,Middlesex,NOT RECOGNIZED,01470,,,,,,,,,,,,,,,,,,,,,,0.0,0.00%
MA,Middlesex,NOT RECOGNIZED,01471,,,,,,,,,,,,,,,,,,,,,,0.0,0.00%
MA,Middlesex,NOT RECOGNIZED,01472,,,,,,,,,,,,,,,,,,,,,,0.0,0.00%
MA,Middlesex,Northborough,01532,85,"$643,900",1.32%,10.20%,$327.33 ,79,67,58,67,59,45,36,2.80%,-0.03%,72,$160.80 ,5.00%,39,60,6.25%,53,26.4,104.42%
